Code;Libellé;Médiane du revenu disponible par UC 2020
1277;Nivollet-Montgriffon;23280
1279;Oncieu;N/A - résultat non disponible
1280;Ordonnaz;23640
1281;Ornex;35900
1282;Outriaz;24460
1283;Oyonnax;17830
1284;Ozan;22460
1285;Parcieux;27830
1286;Parves et Nattages;26330
1288;Péron;39070
1289;Péronnas;23570
1290;Pérouges;27110
1291;Perrex;23660
1293;Peyriat;25900
1294;Peyrieu;22830
1295;Peyzieux-sur-Saône;24010
1296;Pirajoux;23950
1297;Pizay;27300
1298;Plagne;30150
1299;Le Plantay;25120
1301;Polliat;24380
1302;Pollieu;25610
1303;Poncin;21710
1304;Pont-d'Ain;22190
1305;Pont-de-Vaux;20060
1306;Pont-de-Veyle;21100
1307;Port;22090
1308;Pougny;39040
1309;Pouillat;N/A - résultat non disponible
1310;Prémeyzel;23710
1311;Prémillieu;N/A - résultat non disponible
1313;Prévessin-Moëns;40680
1314;Priay;23900
1317;Ramasse;22800
1318;Rancé;27450
1319;Relevant;25040
1320;Replonges;24130
1321;Revonnas;26570
1322;Reyrieux;27960
1323;Reyssouze;22680
1325;Rignieux-le-Franc;25830
1328;Romans;24360
1329;Rossillon;20210
1330;Ruffieu;22700
1331;Saint-Alban;23580
1332;Saint-André-de-Bâgé;24000
1333;Saint-André-de-Corcy;26050
1334;Saint-André-d'Huiriat;24000
1335;Saint-André-le-Bouchoux;24370
1336;Saint-André-sur-Vieux-Jonc;23550
1337;Saint-Bénigne;22680
1338;Groslée-Saint-Benoit;22130
1339;Saint-Bernard;30630
1342;Sainte-Croix;27970
1343;Saint-Cyr-sur-Menthon;23000
1344;Saint-Denis-lès-Bourg;24960
1345;Saint-Denis-en-Bugey;22670
1346;Saint-Didier-d'Aussiat;22760
1347;Saint-Didier-de-Formans;27160
1348;Saint-Didier-sur-Chalaronne;23020
1349;Saint-Éloi;26070
1350;Saint-Étienne-du-Bois;23860
1351;Saint-Étienne-sur-Chalaronne;22740
1352;Saint-Étienne-sur-Reyssouze;21350
1353;Sainte-Euphémie;26670
1354;Saint-Genis-Pouilly;30150
1355;Saint-Genis-sur-Menthon;22910
1356;Saint-Georges-sur-Renon;24080
1357;Saint-Germain-de-Joux;22320
1358;Saint-Germain-les-Paroisses;23770
1359;Saint-Germain-sur-Renon;25760
1360;Saint-Jean-de-Gonville;39050
1361;Saint-Jean-de-Niost;27560
1362;Saint-Jean-de-Thurigneux;27460
1363;Saint-Jean-le-Vieux;23970
1364;Saint-Jean-sur-Reyssouze;22310
1365;Saint-Jean-sur-Veyle;23590
1366;Sainte-Julie;24540
1367;Saint-Julien-sur-Reyssouze;21380
1368;Saint-Julien-sur-Veyle;22850
1369;Saint-Just;26340
1370;Saint-Laurent-sur-Saône;19270
1371;Saint-Marcel;25060
1372;Saint-Martin-de-Bavel;24820
1373;Saint-Martin-du-Frêne;24310
1374;Saint-Martin-du-Mont;25360
1375;Saint-Martin-le-Châtel;24350
1376;Saint-Maurice-de-Beynost;23150
1378;Saint-Maurice-de-Gourdans;26920
1379;Saint-Maurice-de-Rémens;23190
1380;Saint-Nizier-le-Bouchoux;22120
1381;Saint-Nizier-le-Désert;23670
1382;Sainte-Olive;26110
1383;Saint-Paul-de-Varax;22760
1384;Saint-Rambert-en-Bugey;19670
1385;Saint-Rémy;26340
1386;Saint-Sorlin-en-Bugey;25850
1387;Saint-Sulpice;23220
1388;Saint-Trivier-de-Courtes;20620
1389;Saint-Trivier-sur-Moignans;23690
1390;Saint-Vulbas;23860
1391;Salavre;23080
1392;Samognat;25700
1393;Sandrans;24110
1396;Sault-Brénaz;20910
1397;Sauverny;39410
1398;Savigneux;25580
1399;Ségny;41380
1400;Seillonnaz;22250
1401;Sergy;41060
1402;Sermoyer;22150
1403;Serrières-de-Briord;21850
1404;Serrières-sur-Ain;23150
1405;Servas;22200
1406;Servignat;21910
1407;Seyssel;23070
1408;Simandre-sur-Suran;23160
1410;Sonthonnax-la-Montagne;26250
1411;Souclin;22480
1412;Sulignat;23860
1415;Talissieu;23550
1416;Tenay;19690
1418;Thil;29390
1419;Thoiry;37000
1420;Thoissey;19300
1421;Torcieu;22120
1422;Tossiat;25000
1423;Toussieux;26820
1424;Tramoyes;29750
1425;La Tranclière;24690
1426;Val-Revermont;23360
1427;Trévoux;22820
1428;Valeins;25070
